gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,33,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,180,16,8.1157,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k16_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0297,14.92,512.59
gfx950,256,34,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,16,7.8751,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0312,15.84,530.13
gfx950,256,35,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,16,8.0609,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0324,15.94,519.76
gfx950,256,36,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,16,8.0771,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0301,16.36,520.55
gfx950,256,37,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,16,7.9316,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0315,17.12,531.97
gfx950,256,38,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,16,7.9352,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0301,17.57,533.6
gfx950,256,39,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,14,8.2051,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0298,17.44,517.86
gfx950,256,40,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,14,7.9506,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0292,18.46,536.3
gfx950,256,41,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,16,7.9368,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0315,18.96,539.11
gfx950,256,42,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,16,7.9451,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0303,19.4,540.41
gfx950,256,43,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,180,16,8.0831,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k16_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0296,19.52,533.02
gfx950,256,44,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,16,7.9149,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0302,20.4,546.23
gfx950,256,45,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,16,8.1179,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0301,20.34,534.4
gfx950,256,46,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,14,8.0067,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0295,21.08,543.67
gfx950,256,47,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,16,7.9674,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.029,21.65,548.22
gfx950,256,48,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,14,8.0554,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0292,21.87,544.07
gfx950,256,49,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,180,16,8.1163,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k16_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0303,22.16,541.82
gfx950,256,50,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,180,16,8.2907,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k16_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.03,22.13,532.21
gfx950,256,51,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,180,16,8.2505,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k16_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0295,22.69,536.61
gfx950,256,52,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,16,8.1739,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0292,23.35,543.45
gfx950,256,53,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,180,16,8.1211,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k16_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0299,23.95,548.81
gfx950,256,54,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,180,16,8.3395,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k16_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0297,23.76,536.22
gfx950,256,55,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,14,8.2459,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0263,24.48,544.11
gfx950,256,56,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,180,16,8.1727,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k16_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0277,25.15,550.8
gfx950,256,57,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,180,16,8.2191,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k16_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0321,25.45,549.49
gfx950,256,58,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,14,8.2287,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0284,25.87,550.66
gfx950,256,59,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,180,16,8.2399,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k16_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.032,26.28,551.71
gfx950,256,60,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,8.3921,auto,0.0,26.24,543.47
gfx950,256,61,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,16,8.5854,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0306,26.08,532.97
gfx950,256,62,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,16,8.2179,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.029,27.69,558.61
gfx950,256,63,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,180,16,8.1813,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k16_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0284,28.26,562.92
gfx950,256,64,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,7.9077,auto,0.0,29.7,584.28
gfx950,256,65,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,8.1021,auto,0.0,29.44,572.09
