gfx,cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,4096,7168,21,0,12.7235,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,4.62,1154.7,0.0
gfx950,256,1,36864,7168,14,0,25.8413,a4w4_blockscale_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_8_2x2_intrawave_v3,20.45,5115.76,0.0
gfx950,256,4,2112,7168,21,0,13.5084,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,8.97,562.66,0.0
gfx950,256,4,4096,7168,21,0,12.4343,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,18.89,1184.4,0.0
gfx950,256,4,36864,7168,14,0,25.9954,a4w4_blockscale_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_8_2x2_intrawave_v3,81.32,5094.36,0.0
gfx950,256,1024,2112,7168,37,0,18.6425,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_96x128E,1663.1,834.91,0.0
gfx950,256,1024,4096,7168,42,0,22.971,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x128E,2617.63,1164.02,0.0
gfx950,256,1024,36864,7168,48,0,136.4801,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_160x384E,3965.16,1548.12,0.0
gfx950,256,2048,2112,7168,46,0,25.434,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_160x128E,2438.02,926.33,0.0
gfx950,256,2048,4096,7168,43,0,34.9057,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x256E,3445.26,1111.49,0.0
gfx950,256,4096,4096,7168,54,0,56.7807,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4235.91,1108.03,0.0
gfx950,256,8192,2112,7168,47,0,79.7002,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_160x256E,3112.09,897.52,0.0
