M,N,K
1,4096,7168
1,36864,7168
2,2112,7168
2,4096,7168
2,36864,7168
4,2112,7168
4,4096,7168
4,36864,7168
8,4096,7168
8,36864,7168
16,2112,7168
16,4096,7168
16,36864,7168
32,2112,7168
32,4096,7168
32,36864,7168
64,2112,7168
64,4096,7168
64,36864,7168
128,2112,7168
128,4096,7168
128,36864,7168
256,2112,7168
256,4096,7168
256,36864,7168
512,2112,7168
512,4096,7168
512,36864,7168
1024,2112,7168
1024,4096,7168
1024,36864,7168
2048,2112,7168
2048,4096,7168
2048,36864,7168
4096,2112,7168
4096,4096,7168
4096,36864,7168
8192,2112,7168
8192,4096,7168
8192,36864,7168
16384,2112,7168
16384,4096,7168
16384,36864,7168
